Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After
https://stsci.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,357,357
https://ndsu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,367,367
https://ksu.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,358,358
https://ucanr.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,430,430
http://siu.edu,Compliant,No Granular Options Found,438,437
https://bcm.edu,Compliant,Granular Consent Evaluated,434,426
http://nju.edu.cn,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
https://boisestate.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,367,367
http://utoledo.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0
http://ntnu.edu.tw,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
http://nsw.edu.au,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
https://newcastle.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,381,383
https://www.lib.utexas.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,433,433
https://bucknell.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,445,445
https://liberty.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,467,467
http://usra.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0
https://sunysb.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,422,422
https://mayo.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,427,426
https://brynmawr.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,420,420
https://villanova.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0
http://polyu.edu.hk,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
https://njit.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,465,465
https://usm.edu,Partially Compliant - Cookie Banner Present notworking accept/reject,Granular Consent Evaluated,491,491
https://uj.edu.pl,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,439,439
https://pepperdine.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,450,450
