Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After,Country Code,Continent,Website_clean
https://caribbean.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,335,335,unknown,Unknown,caribbean.edu
http://msccollege.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,msccollege.edu
http://su.edu.sa,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,sa,Asia,su.edu.sa
https://hebron.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,341,341,unknown,Unknown,hebron.edu
https://usjr.edu.ph,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,351,351,ph,Unknown,usjr.edu.ph
https://vui.edu.vn,Non-Compliant - No Consent Mechanism,No Granular Options Found,345,345,vn,Unknown,vui.edu.vn
http://witc.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,witc.edu
http://ubaguio.edu,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,unknown,Unknown,ubaguio.edu
https://dienbien.edu.vn,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,353,353,vn,Unknown,dienbien.edu.vn
https://ssu.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,361,361,unknown,Unknown,ssu.edu
http://mdu.edu.tw,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,tw,Unknown,mdu.edu.tw
https://cdnis.edu.hk,Compliant,Granular Consent Evaluated,363,364,hk,Unknown,cdnis.edu.hk
http://hnuahe.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,hnuahe.edu.cn
https://fathih.edu.lk,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,352,352,lk,Unknown,fathih.edu.lk
http://shpc.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,shpc.edu.cn
http://wenda.edu.cn,Error in Cookie Consent Evaluation,Granular Consent Evaluated,0,0,cn,Asia,wenda.edu.cn
https://walnuthillcollege.edu,Non-Compliant - No Consent Mechanism,Granular Consent Evaluated,371,371,unknown,Unknown,walnuthillcollege.edu
